run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,horizon_days,n_features,feature_set,horizon
19,random_forest,1,0.4,0.0,1,1,0,1.0,0.0,980,2022-01-21,2025-12-16,2025-12-19,2025-12-19,4,2,48,ma,2
20,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2022-01-20,2025-12-15,2025-12-18,2025-12-18,4,2,48,ma,2
20,random_forest,1,0.3,0.0,1,1,0,1.0,0.0,980,2022-01-20,2025-12-15,2025-12-18,2025-12-18,4,2,48,ma,2
21,xgboost,1,0.3,0.0,1,1,0,1.0,0.0,980,2022-01-19,2025-12-12,2025-12-17,2025-12-17,4,2,48,ma,2
21,random_forest,1,0.4,0.0,1,1,0,1.0,0.0,980,2022-01-19,2025-12-12,2025-12-17,2025-12-17,4,2,48,ma,2
22,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2022-01-18,2025-12-11,2025-12-16,2025-12-16,4,2,48,ma,2
22,random_forest,1,0.55,0.0,1,0,1,0.0,1.0,980,2022-01-18,2025-12-11,2025-12-16,2025-12-16,4,2,48,ma,2
23,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2022-01-14,2025-12-10,2025-12-15,2025-12-15,4,2,48,ma,2
23,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2022-01-14,2025-12-10,2025-12-15,2025-12-15,4,2,48,ma,2
24,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2022-01-13,2025-12-09,2025-12-12,2025-12-12,4,2,48,ma,2
24,random_forest,1,0.7,0.0,1,0,1,0.0,1.0,980,2022-01-13,2025-12-09,2025-12-12,2025-12-12,4,2,48,ma,2
25,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2022-01-12,2025-12-08,2025-12-11,2025-12-11,4,2,48,ma,2
25,random_forest,1,0.6,0.0,1,0,1,0.0,1.0,980,2022-01-12,2025-12-08,2025-12-11,2025-12-11,4,2,48,ma,2
26,xgboost,1,0.05,1.0,1,0,1,0.0,1.0,980,2022-01-11,2025-12-05,2025-12-10,2025-12-10,4,2,48,ma,2
26,random_forest,1,0.4,1.0,1,0,1,0.0,1.0,980,2022-01-11,2025-12-05,2025-12-10,2025-12-10,4,2,48,ma,2
27,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2022-01-10,2025-12-04,2025-12-09,2025-12-09,4,2,48,ma,2
27,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2022-01-10,2025-12-04,2025-12-09,2025-12-09,4,2,48,ma,2
28,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2022-01-07,2025-12-03,2025-12-08,2025-12-08,4,2,48,ma,2
28,random_forest,1,0.8,1.0,1,1,0,1.0,0.0,980,2022-01-07,2025-12-03,2025-12-08,2025-12-08,4,2,48,ma,2
29,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2022-01-06,2025-12-02,2025-12-05,2025-12-05,4,2,48,ma,2
29,random_forest,1,0.75,0.0,1,0,1,0.0,1.0,980,2022-01-06,2025-12-02,2025-12-05,2025-12-05,4,2,48,ma,2
30,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2022-01-05,2025-12-01,2025-12-04,2025-12-04,4,2,48,ma,2
30,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2022-01-05,2025-12-01,2025-12-04,2025-12-04,4,2,48,ma,2
31,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2022-01-04,2025-11-28,2025-12-03,2025-12-03,4,2,48,ma,2
31,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2022-01-04,2025-11-28,2025-12-03,2025-12-03,4,2,48,ma,2
32,xgboost,1,0.95,1.0,1,1,0,1.0,0.0,980,2022-01-03,2025-11-26,2025-12-02,2025-12-02,4,2,48,ma,2
32,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2022-01-03,2025-11-26,2025-12-02,2025-12-02,4,2,48,ma,2
33,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-31,2025-11-25,2025-12-01,2025-12-01,4,2,48,ma,2
33,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-12-31,2025-11-25,2025-12-01,2025-12-01,4,2,48,ma,2
34,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-30,2025-11-24,2025-11-28,2025-11-28,4,2,48,ma,2
34,random_forest,1,0.6,1.0,1,1,0,1.0,0.0,980,2021-12-30,2025-11-24,2025-11-28,2025-11-28,4,2,48,ma,2
35,xgboost,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-29,2025-11-21,2025-11-26,2025-11-26,4,2,48,ma,2
35,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-29,2025-11-21,2025-11-26,2025-11-26,4,2,48,ma,2
36,xgboost,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-28,2025-11-20,2025-11-25,2025-11-25,4,2,48,ma,2
36,random_forest,1,0.35,0.0,1,1,0,1.0,0.0,980,2021-12-28,2025-11-20,2025-11-25,2025-11-25,4,2,48,ma,2
37,xgboost,1,0.15,0.0,1,1,0,1.0,0.0,980,2021-12-27,2025-11-19,2025-11-24,2025-11-24,4,2,48,ma,2
37,random_forest,1,0.3,0.0,1,1,0,1.0,0.0,980,2021-12-27,2025-11-19,2025-11-24,2025-11-24,4,2,48,ma,2
38,xgboost,1,0.05,0.0,1,1,0,1.0,0.0,980,2021-12-23,2025-11-18,2025-11-21,2025-11-21,4,2,48,ma,2
38,random_forest,1,0.4,0.0,1,1,0,1.0,0.0,980,2021-12-23,2025-11-18,2025-11-21,2025-11-21,4,2,48,ma,2
39,xgboost,1,0.75,1.0,1,1,0,1.0,0.0,980,2021-12-22,2025-11-17,2025-11-20,2025-11-20,4,2,48,ma,2
39,random_forest,1,0.45,0.0,1,1,0,1.0,0.0,980,2021-12-22,2025-11-17,2025-11-20,2025-11-20,4,2,48,ma,2
40,xgboost,1,0.0,1.0,1,0,1,0.0,1.0,980,2021-12-21,2025-11-14,2025-11-19,2025-11-19,4,2,48,ma,2
40,random_forest,1,0.35,1.0,1,0,1,0.0,1.0,980,2021-12-21,2025-11-14,2025-11-19,2025-11-19,4,2,48,ma,2
41,xgboost,1,0.05,1.0,1,0,1,0.0,1.0,980,2021-12-20,2025-11-13,2025-11-18,2025-11-18,4,2,48,ma,2
41,random_forest,1,0.4,1.0,1,0,1,0.0,1.0,980,2021-12-20,2025-11-13,2025-11-18,2025-11-18,4,2,48,ma,2
42,xgboost,1,0.0,1.0,1,0,1,0.0,1.0,980,2021-12-17,2025-11-12,2025-11-17,2025-11-17,4,2,48,ma,2
42,random_forest,1,0.4,1.0,1,0,1,0.0,1.0,980,2021-12-17,2025-11-12,2025-11-17,2025-11-17,4,2,48,ma,2
43,xgboost,1,0.75,0.0,1,0,1,0.0,1.0,980,2021-12-16,2025-11-11,2025-11-14,2025-11-14,4,2,48,ma,2
43,random_forest,1,0.5,0.0,1,0,1,0.0,1.0,980,2021-12-16,2025-11-11,2025-11-14,2025-11-14,4,2,48,ma,2
44,xgboost,1,0.7,0.0,1,0,1,0.0,1.0,980,2021-12-15,2025-11-10,2025-11-13,2025-11-13,4,2,48,ma,2
44,random_forest,1,0.55,0.0,1,0,1,0.0,1.0,980,2021-12-15,2025-11-10,2025-11-13,2025-11-13,4,2,48,ma,2
45,xgboost,1,0.4,1.0,1,0,1,0.0,1.0,980,2021-12-14,2025-11-07,2025-11-12,2025-11-12,4,2,48,ma,2
45,random_forest,1,0.45,1.0,1,0,1,0.0,1.0,980,2021-12-14,2025-11-07,2025-11-12,2025-11-12,4,2,48,ma,2
46,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2021-12-13,2025-11-06,2025-11-11,2025-11-11,4,2,48,ma,2
46,random_forest,1,0.45,1.0,1,0,1,0.0,1.0,980,2021-12-13,2025-11-06,2025-11-11,2025-11-11,4,2,48,ma,2
47,xgboost,1,0.8,0.0,1,0,1,0.0,1.0,980,2021-12-10,2025-11-05,2025-11-10,2025-11-10,4,2,48,ma,2
47,random_forest,1,0.35,1.0,1,0,1,0.0,1.0,980,2021-12-10,2025-11-05,2025-11-10,2025-11-10,4,2,48,ma,2
48,xgboost,1,0.85,1.0,1,1,0,1.0,0.0,980,2021-12-09,2025-11-04,2025-11-07,2025-11-07,4,2,48,ma,2
48,random_forest,1,0.5,0.0,1,1,0,1.0,0.0,980,2021-12-09,2025-11-04,2025-11-07,2025-11-07,4,2,48,ma,2
49,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-08,2025-11-03,2025-11-06,2025-11-06,4,2,48,ma,2
49,random_forest,1,0.65,1.0,1,1,0,1.0,0.0,980,2021-12-08,2025-11-03,2025-11-06,2025-11-06,4,2,48,ma,2
50,xgboost,1,0.25,1.0,1,0,1,0.0,1.0,980,2021-12-07,2025-10-31,2025-11-05,2025-11-05,4,2,48,ma,2
50,random_forest,1,0.65,0.0,1,0,1,0.0,1.0,980,2021-12-07,2025-10-31,2025-11-05,2025-11-05,4,2,48,ma,2
51,xgboost,1,1.0,0.0,1,0,1,0.0,1.0,980,2021-12-06,2025-10-30,2025-11-04,2025-11-04,4,2,48,ma,2
51,random_forest,1,0.8,0.0,1,0,1,0.0,1.0,980,2021-12-06,2025-10-30,2025-11-04,2025-11-04,4,2,48,ma,2
52,xgboost,1,0.35,1.0,1,0,1,0.0,1.0,980,2021-12-03,2025-10-29,2025-11-03,2025-11-03,4,2,48,ma,2
52,random_forest,1,0.3,1.0,1,0,1,0.0,1.0,980,2021-12-03,2025-10-29,2025-11-03,2025-11-03,4,2,48,ma,2
53,xgboost,1,0.95,0.0,1,0,1,0.0,1.0,980,2021-12-02,2025-10-28,2025-10-31,2025-10-31,4,2,48,ma,2
53,random_forest,1,0.45,1.0,1,0,1,0.0,1.0,980,2021-12-02,2025-10-28,2025-10-31,2025-10-31,4,2,48,ma,2
54,xgboost,1,1.0,1.0,1,1,0,1.0,0.0,980,2021-12-01,2025-10-27,2025-10-30,2025-10-30,4,2,48,ma,2
54,random_forest,1,0.7,1.0,1,1,0,1.0,0.0,980,2021-12-01,2025-10-27,2025-10-30,2025-10-30,4,2,48,ma,2
55,xgboost,1,0.2,1.0,1,0,1,0.0,1.0,980,2021-11-30,2025-10-24,2025-10-29,2025-10-29,4,2,48,ma,2
55,random_forest,1,0.5,1.0,1,0,1,0.0,1.0,980,2021-11-30,2025-10-24,2025-10-29,2025-10-29,4,2,48,ma,2
56,xgboost,1,0.0,1.0,1,0,1,0.0,1.0,980,2021-11-29,2025-10-23,2025-10-28,2025-10-28,4,2,48,ma,2
56,random_forest,1,0.3,1.0,1,0,1,0.0,1.0,980,2021-11-29,2025-10-23,2025-10-28,2025-10-28,4,2,48,ma,2
57,xgboost,1,0.0,0.0,1,1,0,1.0,0.0,980,2021-11-26,2025-10-22,2025-10-27,2025-10-27,4,2,48,ma,2
57,random_forest,1,0.2,0.0,1,1,0,1.0,0.0,980,2021-11-26,2025-10-22,2025-10-27,2025-10-27,4,2,48,ma,2
58,xgboost,1,0.15,0.0,1,1,0,1.0,0.0,980,2021-11-24,2025-10-21,2025-10-24,2025-10-24,4,2,48,ma,2
