,Indicator,Type,Category,velocity_25,velocity_25_global,velocity_25_type_local,velocity_25_cat_local
469,Vol_Spike_40_slope25,Slope_25,volatility,1.4167030222663466,moderate,fast,slow
470,Vol_Spike_40_slope50,Slope_50,volatility,1.6137972390226316,moderate,fast,slow
472,VROC_10,Rate,momentum,3.2534284756311425,moderate,,fast
473,VROC_3,Rate,momentum,4.5787399502026265,fast,moderate,fast
474,VROC_5,Rate,momentum,3.920243069425356,fast,slow,fast
475,VROC_5_EA10,Exponential MA,momentum,16.160628910242213,fast,fast,fast
476,VROC_5_EA25,Exponential MA,momentum,28.573359790502273,fast,fast,fast
477,VROC_5_EA5,Exponential MA,momentum,7.680654971805114,fast,fast,fast
478,VROC_5_EA50,Exponential MA,momentum,30.699633519780626,fast,fast,fast
479,VROC_5_MA10,Simple MA,momentum,105.86454897547544,fast,fast,fast
480,VROC_5_MA25,Simple MA,momentum,28.983166520703655,fast,fast,fast
481,VROC_5_MA5,Simple MA,momentum,17.32998218181402,fast,fast,fast
482,VROC_5_MA50,Simple MA,momentum,27.306145017684287,fast,fast,fast
483,Williams_%R_14,Raw,momentum,0.363066084376656,moderate,fast,slow
484,Williams_%R_14_EA10,Exponential MA,momentum,1.4662115376622447,moderate,moderate,moderate
485,Williams_%R_14_EA25,Exponential MA,momentum,1.541117283116372,moderate,moderate,moderate
486,Williams_%R_14_EA5,Exponential MA,momentum,1.4243555165102497,moderate,moderate,moderate
487,Williams_%R_14_EA50,Exponential MA,momentum,1.588249434049874,moderate,moderate,moderate
488,Williams_%R_14_MA10,Simple MA,momentum,1.440291640284092,moderate,moderate,moderate
489,Williams_%R_14_MA25,Simple MA,momentum,1.5620857819581335,moderate,moderate,moderate
490,Williams_%R_14_MA5,Simple MA,momentum,1.4391310526797099,moderate,slow,moderate
491,Williams_%R_14_MA50,Simple MA,momentum,1.6292657313804326,moderate,moderate,moderate
492,Zscore_10,Raw,volatility,2.2520983072772838,moderate,fast,moderate
493,Zscore_10_EA10,Exponential MA,volatility,2.9393703972981764,moderate,moderate,moderate
494,Zscore_10_EA25,Exponential MA,volatility,3.9506420008536063,fast,moderate,moderate
495,Zscore_10_EA5,Exponential MA,volatility,2.365775784755702,moderate,moderate,moderate
496,Zscore_10_EA50,Exponential MA,volatility,5.442659258523584,fast,fast,fast
497,Zscore_10_MA10,Simple MA,volatility,3.58936932844964,fast,moderate,moderate
498,Zscore_10_MA25,Simple MA,volatility,6.680331113036429,fast,fast,fast
499,Zscore_10_MA5,Simple MA,volatility,2.785098593765712,moderate,moderate,moderate
500,Zscore_10_MA50,Simple MA,volatility,12.643456163916117,fast,fast,fast
501,Zscore_25,Raw,volatility,0.9865127108427492,moderate,fast,slow
502,Zscore_25_EA10,Exponential MA,volatility,3.3955743656883755,moderate,moderate,moderate
503,Zscore_25_EA25,Exponential MA,volatility,12.830735963237835,fast,fast,fast
504,Zscore_25_EA5,Exponential MA,volatility,1.8638487257088996,moderate,moderate,moderate
505,Zscore_25_EA50,Exponential MA,volatility,57.22831471716747,fast,fast,fast
506,Zscore_25_MA10,Simple MA,volatility,5.707238747575149,fast,moderate,fast
507,Zscore_25_MA25,Simple MA,volatility,218.57617770536632,fast,fast,fast
508,Zscore_25_MA5,Simple MA,volatility,2.305210009976544,moderate,moderate,moderate
509,Zscore_25_MA50,Simple MA,volatility,11.481822428065232,fast,fast,fast
510,Zscore_5,Raw,volatility,3.993539015595894,fast,fast,moderate
511,Zscore_5_EA10,Exponential MA,volatility,3.5330578291973156,moderate,moderate,moderate
512,Zscore_5_EA25,Exponential MA,volatility,5.121589157095615,fast,fast,moderate
513,Zscore_5_EA5,Exponential MA,volatility,2.497108358108194,moderate,moderate,moderate
514,Zscore_5_EA50,Exponential MA,volatility,6.226855222523783,fast,fast,fast
515,Zscore_5_MA10,Simple MA,volatility,6.277200433914222,fast,fast,fast
516,Zscore_5_MA25,Simple MA,volatility,8.358928133362928,fast,fast,fast
517,Zscore_5_MA5,Simple MA,volatility,4.136027904926488,fast,moderate,moderate
518,Zscore_5_MA50,Simple MA,volatility,7.833960103048327,fast,fast,fast
519,Zscore_50,Raw,volatility,0.537439975699322,moderate,fast,slow
520,Zscore_50_EA10,Exponential MA,volatility,2.1704772930778304,moderate,moderate,moderate
521,Zscore_50_EA25,Exponential MA,volatility,2.674417193712805,moderate,moderate,moderate
522,Zscore_50_EA5,Exponential MA,volatility,1.577150141372841,moderate,moderate,slow
523,Zscore_50_EA50,Exponential MA,volatility,3.1331289479172657,moderate,moderate,moderate
524,Zscore_50_MA10,Simple MA,volatility,2.619011832386073,moderate,moderate,moderate
525,Zscore_50_MA25,Simple MA,volatility,3.2038898543067535,moderate,moderate,moderate
526,Zscore_50_MA5,Simple MA,volatility,1.9073955315117985,moderate,moderate,moderate
527,Zscore_50_MA50,Simple MA,volatility,3.838251745872463,fast,moderate,moderate
