,r,class_balance,flag,indicator,auc_rs,auc_ts,log_loss_rs,log_loss_ts,coef_rs,coef_ts,ks_rs,ks_ts
2425,30,N,no_signal,Regime_Category,0.5176050642671813,0.4831171735241503,0.6274596982866509,0.6247181006330522,-0.2108892974652151,-0.1987228159613864,0.027432924383861527,0.02653548002385212
2426,45,N,no_signal,Regime_Category,0.5244983209108035,0.5118420017310568,0.6044837828954176,0.5975775340101221,-0.186891469686999,-0.17712147940004547,0.05250459263072909,0.04575497678810292
2427,60,N,keep,Regime_Category,0.542468768560434,0.4478070175438596,0.5779209280173704,0.5593828037398577,-0.16195150923203125,-0.210937714969749,0.07149167244795591,0.08859649122807017
2428,90,N,no_signal,Regime_Category,0.5526667412340499,0.4691979644495413,0.5099585376331888,0.42103720547246687,-0.0654152751601025,-0.12239955942473164,0.08981943608920274,0.0807052752293578
2429,5,N,no_signal,Rel_Max_10,0.48521975884869706,0.46707634638669127,0.676481658857191,0.6757710082576902,0.6962556624575541,0.6442921518735045,0.060189106531855704,0.06525020318123767
2430,10,N,no_signal,Rel_Max_10,0.5201015558053466,0.4538366487408413,0.6578658782348816,0.6537878975300447,1.3659578814283257,1.7563337035330562,0.050685429762714514,0.09942741781096086
2431,20,N,no_signal,Rel_Max_10,0.4955258678429884,0.513254520958652,0.6424391342011251,0.6162483592723084,1.5924315515508827,1.6143805831045976,0.03588264655315845,0.06409988804341639
2432,30,N,no_signal,Rel_Max_10,0.4780122263853283,0.5170784883720929,0.6272174322367666,0.6209229846288491,1.04935527738149,0.7754596875689898,0.056055694530919374,0.06380441264162194
2433,45,N,no_signal,Rel_Max_10,0.49364520318734423,0.4910398143048234,0.604889604656996,0.5975711352594203,0.8245623110024908,1.0961785168430547,0.02776874202871418,0.10445353686363994
2434,60,N,keep,Rel_Max_10,0.5116029227536573,0.42504385964912283,0.5799664163922083,0.5549176344485655,0.7140312807337892,1.4031477611589132,0.0453361216616174,0.14692982456140352
2435,90,N,no_signal,Rel_Max_10,0.5303872163290477,0.454665997706422,0.5110319212774161,0.4218192700010164,1.0525370654047843,1.4296040465089193,0.062216404622774696,0.13188073394495411
2436,5,N,no_signal,Rel_Max_120,0.5014610444098269,0.45616261133502506,0.6759971011115113,0.6765544937598991,0.2799382462606925,0.6151426996107416,0.05183153763077828,0.12026670647360302
2437,10,N,keep,Rel_Max_120,0.511215936575913,0.43856488974747204,0.6575286932076227,0.6544578537078036,0.5561344551000506,0.8884056001125754,0.05341440810144895,0.11846708087505874
2438,20,N,keep,Rel_Max_120,0.49704995243234945,0.4479876278487258,0.6418375448552123,0.6177776296689187,1.2801838502076666,1.335277263955325,0.07209805335255948,0.10835120211009697
2439,30,N,keep,Rel_Max_120,0.46543243249231697,0.4163312462731068,0.6280789346668453,0.6241919522847424,1.1417354702687559,1.0473615614213787,0.08873767778444958,0.17576028622540252
2440,45,N,keep,Rel_Max_120,0.49828580789347443,0.40477220867102054,0.6047548688764769,0.5992714245293829,0.23310237887309765,0.6866775902527104,0.054858827796824355,0.21547722086710205
2441,60,N,keep,Rel_Max_120,0.5144253564851092,0.34067982456140355,0.5795330398104152,0.5575625745355576,1.3140210351405546,1.507675140060217,0.07242250160961075,0.2881578947368421
2442,90,N,keep,Rel_Max_120,0.5371194418329066,0.3611131020642202,0.5097721625015155,0.4195327460966633,1.0364286501777784,1.1845551467278526,0.09265501198620302,0.33801605504587157
2443,5,N,no_signal,Rel_Max_30,0.4952999780843339,0.47310543862267995,0.6763010349135213,0.6756775061686481,0.2733558460546819,0.422330671533345,0.0423860829596811,0.07447214343766068
2444,10,N,no_signal,Rel_Max_30,0.5251670163512655,0.48511112271358703,0.657328251191878,0.6530558028377222,1.406853874266758,1.6748411073909304,0.05072447388051267,0.06357576706869246
2445,20,N,no_signal,Rel_Max_30,0.5050895253047103,0.5187384959866411,0.6410017099341208,0.6157070737798009,2.127807702184063,2.3042577336493917,0.06294714658088847,0.07358773411260176
2446,30,N,no_signal,Rel_Max_30,0.4620146725486851,0.48521355098389984,0.6282970983891192,0.6224205587744414,1.7259301798727664,1.39351028418595,0.07795151544694551,0.0810226595110316
2447,45,N,no_signal,Rel_Max_30,0.4884452921147164,0.45838578959792275,0.6044228077209137,0.6001447087389471,1.0184357453722508,1.6141680777461602,0.05319729005534559,0.13447163427492329
2448,60,N,keep,Rel_Max_30,0.5235028124516492,0.38823464912280703,0.5786996486358453,0.5597055861458818,1.8022609472030922,2.6091922073745035,0.0843011793830075,0.21710526315789475
2449,90,N,keep,Rel_Max_30,0.5443625546785491,0.40555117545871555,0.5091566862978791,0.42136057514281605,2.0707421381078768,2.5468414568345743,0.08328068271477673,0.24168577981651376
2450,5,N,no_signal,Rel_Max_60,0.5001520275939955,0.4662055696538455,0.676243742338875,0.6761704484099901,0.13783850934983102,0.5014850098899568,0.04465859933226322,0.11845880811398053
2451,10,N,no_signal,Rel_Max_60,0.5133982972654734,0.4593797316347309,0.6580405577137328,0.6539997801763604,0.49938664464787624,0.7711203533125953,0.03664804193749242,0.11159261386379854
2452,20,N,no_signal,Rel_Max_60,0.48903171034500414,0.4795442038748363,0.642429738541742,0.6177635997043758,1.3582130656430345,1.392282484477989,0.05942543397482114,0.06601643294939183
2453,30,N,keep,Rel_Max_60,0.46842698844941166,0.436614862850328,0.627555123783999,0.6234028204894037,0.8329608250719912,0.8610934183987377,0.07987919852698425,0.16122540250447226
2454,45,N,keep,Rel_Max_60,0.4904859412845325,0.42207294043591154,0.604373834576237,0.6013650079606447,0.6778730312978878,1.3286103737585049,0.058989270210500454,0.20151074042017467
2455,60,N,keep,Rel_Max_60,0.5167823756357339,0.3580482456140351,0.5787436902676842,0.5594614829231354,1.5171191808651072,2.092346808359717,0.06116520845083076,0.275
2456,90,N,keep,Rel_Max_60,0.5355278312681191,0.3649297591743119,0.5094858558390076,0.42074061900252074,1.4287207854144024,1.7587229563623596,0.06824427065541706,0.3219610091743119
2457,5,N,no_signal,Rel_Min_10,0.5091364635222622,0.519596623044899,0.6762618531525352,0.6752847049090414,-0.28119692083505987,-0.3918617619825876,0.05502806587335904,0.09948416844968569
2458,10,N,no_signal,Rel_Min_10,0.5090962519701867,0.4991733235872535,0.6582339488898067,0.6526158391577606,0.3620037876799609,0.25974834827944115,0.03385946994527659,0.08303311926765172
