,r,class_balance,flag,indicator,Weighted_Accuracy,Balanced_Accuracy,auc_rs,auc_ts,log_loss_rs,log_loss_ts,f1_rs,f1_ts,accuracy_rs,accuracy_ts,pos_acc_rs,pos_acc_ts,pos_count_rs,neg_acc_rs,neg_acc_ts,pos_count_ts,neg_count_rs,neg_count_ts,ks_rs,ks_ts
13,90,Y,keep,100_ESMA_200,0.682,0.4977,0.7797032621214824,0.573394495412844,0.545934774164721,0.5380095388635832,0.8183574879227054,0.8034610630407911,0.7355836849507735,0.682,0.75022143489814,0.7454128440366973,1129,0.6791808873720137,0.25,436,293,64,0.441128547114998,0.23795871559633028
14,5,Y,keep,100_SMA_200,0.564,0.5582,0.643036247722054,0.5882387089283642,0.654437913266645,0.6962830764937425,0.6563060370591752,0.6161971830985916,0.6029005524861878,0.564,0.6406067677946324,0.5892255892255892,857,0.5482233502538071,0.5270935960591133,297,591,203,0.1981018268978276,0.14395183360700603
15,10,Y,no_signal,100_SMA_200,0.546,0.513,0.6944047724241671,0.5349118501888304,0.632453853340623,0.7529934083759225,0.7060849598163031,0.6402535657686211,0.6459197786998617,0.546,0.6736035049288062,0.6292834890965732,913,0.5984990619136961,0.39664804469273746,321,533,179,0.2794449159421243,0.12523712560260358
16,20,Y,keep,100_SMA_200,0.608,0.5952,0.7481111589868731,0.5916336173361924,0.5995521146115811,0.7819287717706611,0.7423728813559322,0.6908517350157728,0.683991683991684,0.608,0.6923076923076923,0.6275071633237822,949,0.6680161943319838,0.5629139072847682,349,494,151,0.39304531085353,0.21761323744283573
17,30,Y,keep,100_SMA_200,0.566,0.5637,0.7773226919318709,0.6149187537268933,0.5803947151324866,0.7251114992583355,0.7635172037138176,0.6436781609195402,0.6993055555555555,0.566,0.7139938712972421,0.5697674418604651,979,0.6681127982646421,0.5576923076923077,344,461,156,0.4045342651206796,0.20073047107930828
18,45,Y,no_signal,100_SMA_200,0.556,0.5136,0.762965259820039,0.5384963411755449,0.586986593955362,0.7512215019293839,0.7548806941431669,0.6636363636363637,0.6852367688022284,0.556,0.6857142857142857,0.611731843575419,1015,0.684085510688836,0.4154929577464789,358,421,142,0.3836724664474685,0.10539774962624912
19,60,Y,no_signal,100_SMA_200,0.544,0.5118,0.7627770651680235,0.5435745614035088,0.5764982122941527,0.7202731465284062,0.7809425168306577,0.6566265060240964,0.7044025157232704,0.544,0.7187797902764538,0.5736842105263158,1049,0.6649214659685864,0.45,380,382,120,0.3981378425725822,0.16359649122807018
20,90,Y,keep,100_SMA_200,0.748,0.4822,0.7925253251994426,0.5649906823394495,0.5434641044998827,0.49678941391370196,0.7982107355864811,0.8531468531468531,0.7144866385372715,0.748,0.7112488928255093,0.8394495412844036,1129,0.726962457337884,0.125,436,293,64,0.44651553671889405,0.2356651376146789
21,5,Y,no_signal,10_EMA_100,0.512,0.5128,0.6169210660885669,0.5035245724900898,0.6660826577254295,0.75313936568739,0.656047197640118,0.5531135531135531,0.5973756906077348,0.512,0.6487747957992999,0.5084175084175084,857,0.5228426395939086,0.5172413793103449,297,591,203,0.1835229729489602,0.05647609095884958
22,10,Y,no_signal,10_EMA_100,0.498,0.4694,0.6463116665878935,0.4640526288309925,0.6562939586199377,0.7766417603091168,0.6528681253696038,0.593192868719611,0.5940525587828492,0.498,0.6046002190580504,0.5700934579439252,913,0.575984990619137,0.3687150837988827,321,533,179,0.21337199385979874,0.0736699211611758
23,20,Y,no_signal,10_EMA_100,0.542,0.5291,0.6938744384670845,0.4974098180231124,0.6356321297376306,0.788288782826854,0.7134767836919593,0.6312399355877618,0.6493416493416494,0.542,0.6638566912539515,0.5616045845272206,949,0.6214574898785425,0.4966887417218543,349,494,151,0.294076867616882,0.09129205487770166
24,30,Y,no_signal,10_EMA_100,0.514,0.4997,0.6968541098424839,0.4993850626118067,0.6273101954619961,0.801818074924508,0.7105700055340344,0.6035889070146819,0.6368055555555555,0.514,0.6557711950970377,0.5377906976744186,979,0.596529284164859,0.46153846153846156,344,461,156,0.30467363439163875,0.057468694096601075
25,45,Y,no_signal,10_EMA_100,0.564,0.515,0.7208113452605222,0.4966362420332048,0.6076952922525256,0.7366143499940699,0.7649484536082475,0.6736526946107785,0.6824512534818942,0.564,0.7310344827586207,0.6284916201117319,1015,0.5653206650831354,0.4014084507042254,358,421,142,0.31840445572938,0.08360217168935401
26,60,Y,keep,10_EMA_100,0.536,0.4695,0.6913964433841255,0.4133881578947369,0.6117590040135452,0.8036259051736369,0.7947725072604067,0.6618075801749271,0.7037037037037037,0.536,0.782650142993327,0.5973684210526315,1049,0.4869109947643979,0.3416666666666667,380,382,120,0.2802020373429694,0.1780701754385965
